"running_HR_25p","running_HR_max","running_HR_75p","running_HR_mean","training_RPE","daily_wellness_sleep","daily_wellness_fatigue","daily_wellness_stress","daily_wellness_soreness","daily_wellness_mood","daily_HRrest","training_daypart_evening","training_daypart_morning","training_session_Ext interval","training_session_Ext tempo","training_session_Fartlek","training_session_Int endurance","training_session_Int interval","training_session_Int tempo","readiness_notready","duration","TRIMP","SHRZ","wellness","HRR"
150,161,154,143.312638580931,"4",2.5,2.5,3.5,3,3.5,59,0,1,0,0,0,0,0,0,0,2673,115.231764958547,102.402085207101,38.5,102
178,199,190,167.989606126915,"7",3.5,2,2.5,3,3,63,0,0,0,0,0,0,1,0,0,1828,66.2714218687437,74.9844385276578,46.4,136
153,166,156,144.719036144578,"3",3.5,2.5,3.5,3,3,62,0,0,0,0,0,0,0,0,0,2059,80.4409656143316,81.975971304615,23.5,104
163,174,169,153.824609733701,"4",2.5,2.5,3.5,3,3.5,61,0,1,0,0,0,1,0,0,0,2778,117.845653165243,107.090242862513,40.1,113
155,165,157,151.682134570766,"4",3.5,3.5,4,3,3.5,64,0,1,0,0,0,1,0,0,0,1724,84.5376615799133,62.8854064018767,26.2,101
169,183,172,161.520460358056,"7",3.5,3,4,3.5,4,60,0,1,0,0,0,0,0,1,0,1573,67.5517429192252,60.3507409086903,41.3,123
155,166,157,149.639302694136,"4",4.5,3.5,4,3.5,3.5,60,0,1,0,0,0,0,0,0,0,3119,142.685958609679,116.795233995258,44.8,106
161,176,166,154.669230769231,"7",4,4,3.5,3,4,61,0,0,0,0,0,0,1,0,0,1557,64.6243341826622,60.5329514658781,40.1,115
154,174,158,147.06714801444,"5",2,2,2.5,3,3,56,1,0,0,0,0,0,0,0,0,1379,49.9571309725955,56.5831196615082,25.3,118
157,169,160,149.568039391227,"5",3.5,3,2.5,2.5,3.5,57,0,1,0,0,0,0,0,0,0,4377,188.634807688798,167.70107806206,75.8,112
152,161,156,147.2218769422,"5",3.5,3,2,2,3,56,0,0,0,0,0,0,0,0,0,1602,78.7098288770686,58.3922429416254,29.7,105
151,162,154,145.100369458128,"5",4,3,2,3,3,56,1,0,0,0,0,0,0,0,0,1613,72.6343016458979,60.7663398733463,29.8,106
